track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Fotos Y Recuerdos (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/24,USUM72402908,"1,622",36.4,"66,283,950",13,"74,994",
ACHO PR,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364201,"4,505",19.6,"66,274,186","17,090","4,688,146",
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix","BESAME (feat. Tiago PZK, Khea & Neo Pistea) [Remix]",Bhavi,4/16/24,BK4DA2410627,"3,444",23.3,"66,225,764","4,531","17,931,371",78
VVV,VVV,mikeeysmind,10/21/23,DGA0L2303147,"1,782",34.5,"66,104,800","18,865","2,295,894",
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401989,790,54.7,"66,101,468","3,693","9,878,576",84
Outskirts,Outskirts,Sam Hunt,3/10/23,USUM72302885,"3,334",23.8,"66,067,682","7,457","9,164,334",65
Fear Of Heights,For All The Dogs,Drake,10/6/23,USUG12306069,"4,358",20.1,"65,870,686","22,047","2,768,716",
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/24,USUG12402546,"4,018",21.3,"65,809,859","1,728","11,038,428",
Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),Russ,7/22/22,QZQAY2214416,"3,135",24.6,"65,786,757","28,190","2,251,668",56
Tu Fan,tu fan,mafalda cardenal,5/26/23,QZMZ92325070,"2,735",26.9,"65,670,361","8,193","4,692,658",66
"Naina (From 'Crew'"")""","Naina (From 'Crew'"") - Single""",Diljit Dosanjh,3/5/24,INT102400827,"1,049",46.8,"65,661,355","2,351","12,360,484",76
ATORRANTE - con Los Palmeras,ATORRANTE - con Los Palmeras,Emanero,7/5/23,ARP7V2300023,"2,280",30,"65,617,109","7,487","3,295,468",61
meet the grahams,meet the grahams,Kendrick Lamar,5/3/24,USUG12400909,201,107.3,"65,520,394","8,933","15,896,982",
back to the moon,a Gift & a Curse,Gunna,6/16/23,USAT22306571,"3,373",23.6,"65,374,827","33,151","5,818,874",63
Down With Me,Down With Me,Lil Tecca,1/4/24,USUM72400053,"3,915",21.6,"65,300,464","14,158","6,850,591",
FEEL,Timeless,Davido,3/30/23,GBARL2300319,"3,202",24.4,"65,174,919","13,131","7,905,515",64
